conflict_id,region,side_a,side_b,year,start_month,duration,intensity_level,conflict_issue,sides,location
11342,Asia,Government of India,GNLA,2012,Nov,36,1,1,a,India
11342,Asia,Government of India,GNLA,2014,Jul,149,1,1,a,India
11343,Middle East,Government of Egypt,Government of Israel,1967,Jun,5,2,1,a,Egypt
11343,Middle East,Government of Egypt,Government of Israel,1967,Jun,5,2,1,b,Israel
11343,Middle East,Government of Egypt,Government of Israel,1970,Mar,519,1,1,a,Egypt
11343,Middle East,Government of Egypt,Government of Israel,1970,Mar,519,1,1,b,Israel
11343,Middle East,Government of Egypt,Government of Israel,1973,Oct,18,2,1,a,Egypt
11343,Middle East,Government of Egypt,Government of Israel,1973,Oct,18,2,1,b,Israel
11344,Africa,Government of Sudan,Republic of South Sudan,2011,May,27,1,1,a,Sudan
11345,Africa,Government of South Sudan,"NAS, SPLM/A - IO - Kitgwang",2021,Aug,3782,1,2,a,South Sudan
11346,Africa,Government of Libya,"Forces of Muammar Gaddafi, NTC",2011,Mar,264,2,2,a,Libya
11346,Africa,Government of Libya,Forces of the House of Representatives,2015,Nov,506,1,2,a,Libya
11346,Africa,Government of Libya,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",2017,May,178,1,2,a,Libya
11346,Africa,Government of Libya,Forces of the House of Representatives,2020,Feb,618,1,2,a,Libya
11347,Africa,Government of Mali,AQIM,2009,Jun,30,1,2,a,Mali
11347,Africa,Government of Mali,JNIM,2022,Jan,3994,2,2,a,Mali
11348,Africa,Government of South Sudan,Government of Sudan,2012,Mar,274,1,1,a,South Sudan
11348,Africa,Government of South Sudan,Government of Sudan,2012,Mar,274,1,1,b,Sudan
11349,Asia,Government of China,ETIM,2008,Aug,19,1,1,a,China
11350,Asia,Government of Bangladesh,PBCP-J,2006,Feb,682,1,2,a,Bangladesh
11447,Africa,Government of Ethiopia,IGLF,1991,Oct,0,1,1,a,Ethiopia
11475,Asia,Government of Myanmar (Burma),NSCN-K,1991,Dec,0,1,1,a,Myanmar
11475,Asia,Government of Myanmar (Burma),NSCN-K,1995,Apr,16,1,1,a,Myanmar
11475,Asia,Government of Myanmar (Burma),NSCN-K,2001,Feb,445,1,1,a,Myanmar
11475,Asia,Government of Myanmar (Burma),NSCN-K,2007,Jan,745,1,1,a,Myanmar
11487,Asia,Government of Malaysia,Sultanate of Sulu,2013,Mar,53,1,1,a,Malaysia
11884,Asia,Government of Hyderabad,CPI,1948,Jun,446,2,2,a,Hyderabad
13042,Middle East,Government of Syria,PYD,2015,Sep,1051,1,1,a,Syria
13219,Europe,Government of Ukraine,Maidan,2014,Feb,3,1,2,a,Ukraine
13243,Europe,Government of Russia (Soviet Union),Government of Ukraine,2022,Feb,310,2,3,a,Russia
13243,Europe,Government of Russia (Soviet Union),Government of Ukraine,2022,Feb,310,2,3,b,Ukraine
13246,Europe,Government of Ukraine,DPR,2014,May,136,2,1,a,Ukraine
13247,Europe,Government of Ukraine,LPR,2014,Jun,95,2,1,a,Ukraine
13306,Europe,Government of Ukraine,DPR,2022,Sep,3026,1,1,a,Ukraine
13324,Asia,Government of Kyrgyzstan,Government of Tajikistan,2022,May,609,1,1,a,Kyrgyzstan
13324,Asia,Government of Kyrgyzstan,Government of Tajikistan,2022,May,609,1,1,b,Tajikistan
